year,country,region,income,population,lifeExpectancy
1900,New Caledonia,East Asia & Pacific,,,
1900,New Zealand,East Asia & Pacific,5819.9,807000,
1900,Papua New Guinea,East Asia & Pacific,,,
1900,Philippines,East Asia & Pacific,,7324000,
1900,Samoa,East Asia & Pacific,,33000,
1900,Singapore,East Asia & Pacific,2181.19,215000,
1900,Solomon Islands,East Asia & Pacific,,,
1900,Taiwan,East Asia & Pacific,961,2864000,
1900,Thailand,East Asia & Pacific,,7320000,
1900,Timor-Leste,East Asia & Pacific,,,
1900,Tokelau,East Asia & Pacific,,350,
1900,Tonga,East Asia & Pacific,,20000,
1900,Vietnam,East Asia & Pacific,,,
1900,Vanuatu,East Asia & Pacific,,,
1901,Angola,Sub-Saharan Africa,,,
1901,Benin,Sub-Saharan Africa,,,
1901,Botswana,Sub-Saharan Africa,,,
1901,Burkina Faso,Sub-Saharan Africa,,,
1901,Burundi,Sub-Saharan Africa,,,
1901,Cameroon,Sub-Saharan Africa,,,
1901,Cape Verde,Sub-Saharan Africa,474.21,,
1901,Chad,Sub-Saharan Africa,,,
1901,Comoros,Sub-Saharan Africa,,,
1901,"Congo, Dem. Rep.",Sub-Saharan Africa,,,
1901,"Congo, Rep.",Sub-Saharan Africa,,,
1901,Cote d'Ivoire,Sub-Saharan Africa,,,
1901,Equatorial Guinea,Sub-Saharan Africa,,,
1901,Eritrea,Sub-Saharan Africa,,,
1901,Ethiopia,Sub-Saharan Africa,,,
1901,Gabon,Sub-Saharan Africa,,,
1901,Ghana,Sub-Saharan Africa,,,
1901,Guinea,Sub-Saharan Africa,,,
1901,Guinea-Bissau,Sub-Saharan Africa,,,
1901,Kenya,Sub-Saharan Africa,,,
1901,Lesotho,Sub-Saharan Africa,,,
1901,Liberia,Sub-Saharan Africa,,,
1901,Madagascar,Sub-Saharan Africa,,,
1901,Malawi,Sub-Saharan Africa,,737000,
1901,Mali,Sub-Saharan Africa,,,
1901,Mauritania,Sub-Saharan Africa,,,
1901,Mauritius,Sub-Saharan Africa,,371000,
1901,Mayotte,Sub-Saharan Africa,,,
1901,Mozambique,Sub-Saharan Africa,,,
1901,Namibia,Sub-Saharan Africa,,,
1901,Niger,Sub-Saharan Africa,,,
1901,Nigeria,Sub-Saharan Africa,,,
1901,Reunion,Sub-Saharan Africa,,,
1901,Rwanda,Sub-Saharan Africa,,,
1901,Sao Tome and Principe,Sub-Saharan Africa,,,
1901,Senegal,Sub-Saharan Africa,,,
1901,Sierra Leone,Sub-Saharan Africa,,,
1901,Somalia,Sub-Saharan Africa,,,
1901,South Africa,Sub-Saharan Africa,,,
1901,Sudan,Sub-Saharan Africa,,,
1901,Swaziland,Sub-Saharan Africa,,,
1901,Tanzania,Sub-Saharan Africa,,,
1901,Togo,Sub-Saharan Africa,,,
1901,Uganda,Sub-Saharan Africa,,,
1901,Zambia,Sub-Saharan Africa,,,
1901,Zimbabwe,Sub-Saharan Africa,,,
1901,Afghanistan,South Asia,,,
1901,Bangladesh,South Asia,691,,
1901,Bhutan,South Asia,,,
1901,India,South Asia,612,,23.49
1901,Maldives,South Asia,,,
1901,Nepal,South Asia,,,
1901,Pakistan,South Asia,755,,
1901,Sri Lanka,South Asia,983.09,4031000,32.6
1901,Algeria,Middle East & North Africa,,,
1901,Bahrain,Middle East & North Africa,,,
1901,Djibouti,Middle East & North Africa,,,
1901,Iraq,Middle East & North Africa,1702.32,,
1901,Israel,Middle East & North Africa,,367198,
1901,Jordan,Middle East & North Africa,,,
1901,Kuwait,Middle East & North Africa,,,
1901,Lebanon,Middle East & North Africa,,,
1901,Libya,Middle East & North Africa,,,
1901,Morocco,Middle East & North Africa,,,
1901,Oman,Middle East & North Africa,,,
1901,Qatar,Middle East & North Africa,,,
1901,Saudi Arabia,Middle East & North Africa,,,
1901,Tunisia,Middle East & North Africa,,,
1901,United Arab Emirates,Middle East & North Africa,,,
1901,West Bank and Gaza,Middle East & North Africa,,290228,
1901,"Yemen, Rep.",Middle East & North Africa,,,
1901,Argentina,America,3611.77,4873000,
1901,Aruba,America,,,
1901,Barbados,America,,196000,
1901,Belize,America,,37000,
1901,Bolivia,America,,1710000,
1901,Brazil,America,648.48,18392000,
1901,Canada,America,4493.99,5536000,48.63
1901,Chile,America,2249.32,2994214,
1901,Colombia,America,,4079000,
1901,Costa Rica,America,,310000,
1901,Cuba,America,,1716000,
1901,Ecuador,America,,1420000,
1901,El Salvador,America,,782000,
1901,French Guiana,America,,,
1901,Grenada,America,,63000,
1901,Guadeloupe,America,,,
1901,Guatemala,America,,1313000,
1901,Guyana,America,,,
1901,Haiti,America,,1583000,
1901,Honduras,America,,511000,
1901,Jamaica,America,,728000,38.1
1901,Martinique,America,,,
1901,Mexico,America,1837.59,13755000,26.65
1901,Netherlands Antilles,America,,,
1901,Nicaragua,America,,485000,
1901,Panama,America,,269000,
1901,Paraguay,America,,450000,
1901,Peru,America,1098.3,3694000,
1901,Puerto Rico,America,,974000,
1901,Suriname,America,,,
1901,Trinidad and Tobago,America,,274000,
1901,United States,America,7305.78,77888000,49.3
1901,Uruguay,America,2575.86,930000,
1901,Albania,Europe & Central Asia,,,
1901,Armenia,Europe & Central Asia,,,
1901,Austria,Europe & Central Asia,4344.52,6035000,42
1901,Azerbaijan,Europe & Central Asia,,,
1901,Belarus,Europe & Central Asia,,,
1901,Belgium,Europe & Central Asia,4442.72,6801000,49.44
1901,Bosnia and Herzegovina,Europe & Central Asia,,,
1901,Bulgaria,Europe & Central Asia,,,
1901,Croatia,Europe & Central Asia,,,
1901,Cyprus,Europe & Central Asia,,237000,
1901,Denmark,Europe & Central Asia,3769.45,2594000,52.66
1901,Estonia,Europe & Central Asia,,,
1901,Finland,Europe & Central Asia,2248.73,2667000,42.87
1901,France,Europe & Central Asia,3923.77,40640000,47.01
1901,Georgia,Europe & Central Asia,,,
1901,Germany,Europe & Central Asia,4505.8,55214000,
1901,Greece,Europe & Central Asia,2058.71,4997000,
1901,Hungary,Europe & Central Asia,,,
1901,Iceland,Europe & Central Asia,2163.93,,52.98
1901,Ireland,Europe & Central Asia,3468.62,3164192,49.4
1901,Italy,Europe & Central Asia,2166.37,33877000,43.52
1901,Kazakhstan,Europe & Central Asia,,,
1901,Latvia,Europe & Central Asia,,,
1901,Lithuania,Europe & Central Asia,,,
1901,Luxembourg,Europe & Central Asia,,,47.98
1901,"Macedonia, FYR",Europe & Central Asia,,,
1901,Malta,Europe & Central Asia,,,
1901,Moldova,Europe & Central Asia,,,
1901,Montenegro,Europe & Central Asia,,,
1901,Netherlands,Europe & Central Asia,3826.9,5221000,48.72
1901,Norway,Europe & Central Asia,2709,2255000,54.59
1901,Poland,Europe & Central Asia,2478.36,,
1901,Portugal,Europe & Central Asia,1801.95,5447000,
1901,Romania,Europe & Central Asia,,,
1901,Serbia,Europe & Central Asia,,,
1901,Slovak Republic,Europe & Central Asia,,,
1901,Slovenia,Europe & Central Asia,,,
1901,Spain,Europe & Central Asia,2848.79,18659000,
1901,Sweden,Europe & Central Asia,2930,5156000,52.92
1901,Switzerland,Europe & Central Asia,5729.43,3341000,48.94
1901,Tajikistan,Europe & Central Asia,,,
1901,Turkey,Europe & Central Asia,1455.87,,
1901,Turkmenistan,Europe & Central Asia,,,
1901,Ukraine,Europe & Central Asia,,,
1901,United Kingdom,Europe & Central Asia,6263.51,38373808,47.91
1901,Uzbekistan,Europe & Central Asia,,,
1901,Australia,East Asia & Pacific,5195.5,3795000,
1901,Brunei,East Asia & Pacific,,,
1901,Cambodia,East Asia & Pacific,,,
1901,China,East Asia & Pacific,803.06,402243000,
1901,Fiji,East Asia & Pacific,,120000,
1901,French Polynesia,East Asia & Pacific,,,
1901,"Hong Kong, China",East Asia & Pacific,,,
1901,Indonesia,East Asia & Pacific,600.79,43275000,
1901,Japan,East Asia & Pacific,1772.67,44662000,
